380,"布",113652,"bu4","diffuse/extend/notify, to declare/to announce/to spread/to make known/spread/(cotton) cloth","none"
381,"始",112987,"shi3","begin","none"
382,"怎",112294,"zen3","how","none"
383,"呢",112185,"ne/ni2","(question particle), woolen material","none"
384,"存",110970,"cun2","exist/deposit/store/keep/survive","none"
385,"未",110491,"wei4","1-3 p.m./8th earthly branch/not yet/did not/have not/not","time"
386,"远",110455,"yuan3","far/distant/remote","none"
387,"叫",110131,"jiao4","to (be) call(ed)","none"
388,"台",109362,"tai2","surname/(classical) you (in letters)/platform/Taiwan (abbr.), desk/platform, (measure word)/platform/stage/terrace/stand/support/desk/station/broadcasting station, typhoon","none"
389,"单",109359,"chan2/dan1/shan4","chieftain, bill/list/form/single/only/sole, (surname)","none"
390,"影",108862,"ying3","picture/image/reflection/shadow","none"
